Exercicio;Periodo;Instituicao;Cod.IBGE;UF;Populacao;Coluna;Conta;Identificador da Conta;Valor;origem da informacao
2017;6o. bimestre;Santo Angelo;4317509;RS;79040;Ate o Bimestre (c);RECEITAS (EXCETO INTRA-ORCAMENTARIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;166.773.996,03;informacao_original
2017;6o. bimestre;Tres Cachoeiras;4321667;RS;10859;Ate o Bimestre (c);RECEITAS (EXCETO INTRA-ORCAMENTARIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;27.021.512,84;informacao_original
2017;6o. bimestre;Nova Roma do Sul;4313359;RS;3584;Ate o Bimestre (c);RECEITAS (EXCETO INTRA-ORCAMENTARIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;20.764.695,71;informacao_original
2017;6o. bimestre;Antonina;4101200;PR;19418;Ate o Bimestre (c);RECEITAS (EXCETO INTRA-ORCAMENTARIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;48.115.636,20;informacao_original
2017;6o. bimestre;Ibiraiaras;4309902;RS;7449;Ate o Bimestre (c);RECEITAS (EXCETO INTRA-ORCAMENTARIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;24.191.496,56;informacao_original
2017;6o. bimestre;Cotipora;4305959;RS;4004;Ate o Bimestre (c);RECEITAS (EXCETO INTRA-ORCAMENTARIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;18.309.092,22;informacao_original
2017;6o. bimestre;Mata;4312104;RS;5141;Ate o Bimestre (c);RECEITAS (EXCETO INTRA-ORCAMENTARIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;19.160.317,65;informacao_original
2017;6o. bimestre;Progresso;4315156;RS;6376;Ate o Bimestre (c);RECEITAS (EXCETO INTRA-ORCAMENTARIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;20.347.550,37;informacao_original
2017;6o. bimestre;Santa Tereza;4317251;RS;1780;Ate o Bimestre (c);RECEITAS (EXCETO INTRA-ORCAMENTARIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;10.388.329,97;informacao_original
2017;6o. bimestre;Morrinhos do Sul;4312443;RS;3179;Ate o Bimestre (c);RECEITAS (EXCETO INTRA-ORCAMENTARIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;14.718.101,49;informacao_original
2017;6o. bimestre;Pouso Novo;4315131;RS;1832;Ate o Bimestre (c);RECEITAS (EXCETO INTRA-ORCAMENTARIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;11.872.598,77;informacao_original
